Валюта, Курс
Австралийский доллар,48.711
Азербайджанский манат,41.3531
Фунт стерлингов Соединенного королевства,84.6907
Армянских драмов,17.8007
Белорусский рубль,25.9401
Болгарский лев,37.741
Бразильский реал,13.3013
Венгерских форинтов,18.8949
Гонконгских долларов,90.221
Датских крон,99.2534
Доллар США,70.3002
Евро,75.0785
Индийских рупий,85.0796
Казахстанских тенге,15.1735
Канадский доллар,52.1283
Киргизских сомов,82.0497
Китайский юань,10.2867
Молдавских леев,36.5996
Норвежских крон,70.9465
Польский злотый,15.9959
Румынский лей,15.2326
СДР (специальные права заимствования),93.2385
Сингапурский доллар,52.8176
Таджикских сомони,68.8179
Турецких лир,37.4601
Новый туркменский манат,20.0858
Узбекских сумов,62.2125
Украинских гривен,19.0855
Чешских крон,30.684
Шведских крон,67.1034
Швейцарский франк,76.0413
Южноафриканских рэндов,41.3127
Вон Республики Корея,56.5341
Японских иен,52.6042
