Валюта, Курс
Австралийский доллар,47.6537
Азербайджанский манат,41.375
Фунт стерлингов Соединенного королевства,84.7919
Армянских драмов,17.8717
Белорусский рубль,25.7044
Болгарский лев,38.2977
Бразильский реал,13.4813
Венгерских форинтов,18.7227
Гонконгских долларов,90.3965
Датская крона,10.0722
Доллар США,70.3375
Евро,75.6553
Индийских рупий,84.8785
Казахстанских тенге,15.2583
Канадский доллар,51.8828
Киргизских сомов,82.0933
Китайских юаней,98.9492
Молдавских леев,36.7146
Норвежских крон,71.511
Польский злотый,16.0496
Румынский лей,15.1766
СДР (специальные права заимствования),93.608
Сингапурский доллар,52.3111
Таджикских сомони,68.9421
Турецких лир,37.5865
Новый туркменский манат,20.0964
Узбекских сумов,62.6589
Украинских гривен,19.1387
Чешских крон,30.9611
Шведских крон,67.3918
Швейцарский франк,76.1805
Южноафриканских рэндов,41.4162
Вон Республики Корея,55.6248
Японских иен,53.0609
